address,suburb,postcode,price_raw,property_type,bedrooms,bathrooms,car_spaces,land_size,distance_km_from_wilgena,high_schools,primary_schools,url
"2 Pitfour Road,Lower Mitcham SA 5062",Lower Mitcham,5062,$1M — $1.1M,House,3,1,2,492 m²,2.68,Unley High School [Prestigious Zone]; Mitcham Girls High School (State-wide Zone for girls),Mitcham Primary School / Clapham Primary,https://www.homely.com.au/homes/2-pitfour-road-lower-mitcham-sa-5062/13496099
"18 John Fisher Drive,Torrens Park SA 5062",Torrens Park,5062,$1.2m - $1.28m,House,3,2,2,553 m²,2.77,Unley High School [Prestigious Zone]; Mitcham Girls High School (State-wide Zone for girls),Mitcham Primary School / Clapham Primary,https://www.homely.com.au/homes/18-john-fisher-drive-torrens-park-sa-5062/10741959
"8 Pamela Road,Torrens Park SA 5062",Torrens Park,5062,Auction (USP),House,3,1,2,774 m²,2.77,Unley High School [Prestigious Zone]; Mitcham Girls High School (State-wide Zone for girls),Mitcham Primary School / Clapham Primary,https://www.homely.com.au/homes/8-pamela-road-torrens-park-sa-5062/10699481
"2. Miller Street,Unley SA 5061",Unley,5061,Contact Agent,House,3,1,1,94 m²,2.78,Unley High School [Prestigious Zone]; Mitcham Girls High School (State-wide Zone for girls),Unley Primary School,https://www.homely.com.au/homes/2-miller-street-unley-sa-5061/13132242
"34 Austral Avenue,Linden Park SA 5065",Linden Park,5065,Best Offers By 21/9 (USP),House,3,2,2,836 m²,2.82,Glenunga International High School (GIHS) [Tier 1 Zone]; Mitcham Girls High School (State-wide Zone for girls),Linden Park Primary School,https://www.homely.com.au/homes/34-austral-avenue-linden-park-sa-5065/13475248
"28 Mount Osmond Road,Mount Osmond SA 5064",Mount Osmond,5064,Contact Agent,House,3,1,4,150 m²,3.0,Mitcham Girls High School (State-wide Zone for girls),Glen Osmond Primary School,https://www.homely.com.au/homes/28-mount-osmond-road-mount-osmond-sa-5064/13497433
"2 The Common,Beaumont SA 5066",Beaumont,5066,Best Offers By Monday 28th September 12PM (USP),House,3,2,2,537 m²,3.13,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/2-the-common-beaumont-sa-5066/13479904
"10B Finchley Street,Clovelly Park SA 5042",Clovelly Park,5042,"$760,000-$790,000",House,3,1,2,105 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/10b-finchley-street-clovelly-park-sa-5042/13478608
"22 Hawker Avenue,Plympton Park SA 5038",Plympton Park,5038,"$790,000-$840,000",House,3,1,1,209 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/22-hawker-avenue-plympton-park-sa-5038/13496940
"37 Sylvan Way,Glenalta SA 5052",Glenalta,5052,"Price Guide $800,000 - $850,000",House,3,1,0,908 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/37-sylvan-way-glenalta-sa-5052/13495627
"56 Lloyd Street,St Marys SA 5042",St Marys,5042,$820K,House,3,1,1,776 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/56-lloyd-street-st-marys-sa-5042/13474637
"19A Adelaide Terrace,Edwardstown SA 5039",Edwardstown,5039,$895k to $925k,House,3,2,2,179 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/19a-adelaide-terrace-edwardstown-sa-5039/13493619
"9 Mullins Street,Pasadena SA 5042",Pasadena,5042,$898k,House,3,1,4,863 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/9-mullins-street-pasadena-sa-5042/13498479
"2 Colorado Drive,Glenalta SA 5052",Glenalta,5052,"$1,000,000 - $1,100,000",House,3,1,1,741 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/2-colorado-drive-glenalta-sa-5052/13475737
"27A Marleston Avenue,Ashford SA 5035",Ashford,5035,"$1,049,000 to $1,150,000",House,3,2,2,N/A,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/27a-marleston-avenue-ashford-sa-5035/13502861
"6a Wingfield Street,Clovelly Park SA 5042",Clovelly Park,5042,Contact Agent,House,3,2,1,431 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/6a-wingfield-street-clovelly-park-sa-5042/13479806
"9 Ellis Street,Magill SA 5072",Magill,5072,Offers Closing - 01/10/26 Unless Sold Prior,House,3,1,2,680 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/9-ellis-street-magill-sa-5072/13501258
"2/4 Greer Place,Magill SA 5072",Magill,5072,Contact Agent,Townhouse,3,2,1,112 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/2-4-greer-place-magill-sa-5072/13432793
"30 Green Street,St Morris SA 5068",St Morris,5068,Offers Closing 01/10 USP,House,3,1,2,600 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/30-green-street-st-morris-sa-5068/13501309
"D2/38 Galway Avenue,North Plympton SA 5037",North Plympton,5037,Contact Agent,House,3,2,2,200 m²,3.5,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/d2-38-galway-avenue-north-plympton-sa-5037/13496756
"2/12 Hazelwood Avenue,Hazelwood Park SA 5066",Hazelwood Park,5066,Contact Agent,House,3,2,2,526 m²,3.55,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/2-12-hazelwood-avenue-hazelwood-park-sa-5066/13477242
"11 Windarra Avenue,Burnside SA 5066",Burnside,5066,AUCTION: Friday 18 September at 2:30pm,House,3,2,2,2675.607552 m²,3.83,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/11-windarra-avenue-burnside-sa-5066/13475560
"2B Hill Street,Burnside SA 5066",Burnside,5066,UNDER CONTRACT,House,3,2,1,374 m²,3.83,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/2b-hill-street-burnside-sa-5066/13181395
"609 Greenhill Road,Burnside SA 5066",Burnside,5066,UNDER CONTRACT,House,3,1,2,490 m²,3.83,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/609-greenhill-road-burnside-sa-5066/13290825
"10/27 Trevelyan Street,Wayville SA 5034",Wayville,5034,$699K - $759K,Unit / Villa,3,1,1,N/A,4.28,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/10-27-trevelyan-street-wayville-sa-5034/13498870
"2/3 George Street,Clarence Park SA 5034",Clarence Park,5034,"$845,000 to $885,000",Townhouse,3,1,1,N/A,4.87,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/2-3-george-street-clarence-park-sa-5034/13414295
"7 William Street,Clarence Park SA 5034",Clarence Park,5034,Auction On-Site Thursday 24th Sept 1:30PM $1.2M,House,3,1,1,474 m²,4.87,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/7-william-street-clarence-park-sa-5034/13476288
"4/5 Avondale Street,Clarence Park SA 5034",Clarence Park,5034,Auction On-Site Wednesday 30th September 6:00PM,Townhouse,3,2,2,191 m²,4.87,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/4-5-avondale-street-clarence-park-sa-5034/13490388
"9 Parker Terrace,Clarence Park SA 5034",Clarence Park,5034,Contact Agent,House,3,2,4,200 m²,4.87,Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/9-parker-terrace-clarence-park-sa-5034/13501065
